,date,location,count
15,2022-04-07,Sumska,1.0
0,2022-02-24,Kharkivska,1.0
1,2022-02-26,Kharkivska,15.0
2,2022-02-28,Kharkivska,7.0
3,2022-03-01,Kharkivska,29.0
4,2022-03-02,Kharkivska,20.0
5,2022-03-03,Kharkivska,16.0
6,2022-03-06,Kharkivska,8.0
7,2022-03-07,Kharkivska,13.0
8,2022-03-08,Kharkivska,2.0
9,2022-03-10,Kharkivska,5.0
10,2022-03-11,Kharkivska,2.0
11,2022-03-12,Kharkivska,2.0
12,2022-03-14,Kharkivska,7.0
13,2022-03-15,Kharkivska,1.0
14,2022-03-16,Kharkivska,10.0
15,2022-03-17,Kharkivska,1.0
16,2022-03-18,Kharkivska,1.0
17,2022-03-19,Kharkivska,2.0
18,2022-03-23,Kharkivska,1.0
19,2022-03-24,Kharkivska,6.0
20,2022-03-27,Kharkivska,4.0
21,2022-03-29,Kharkivska,1.0
22,2022-03-30,Kharkivska,2.0
23,2022-03-31,Kharkivska,1.0
24,2022-04-03,Kharkivska,10.0
25,2022-04-04,Kharkivska,6.0
26,2022-04-05,Kharkivska,3.0
27,2022-04-06,Kharkivska,3.0
28,2022-04-07,Kharkivska,1.0
29,2022-04-09,Kharkivska,4.0
30,2022-04-10,Kharkivska,6.0
31,2022-04-11,Kharkivska,11.0
32,2022-04-13,Kharkivska,7.0
33,2022-04-14,Kharkivska,1.0
34,2022-04-15,Kharkivska,7.0
35,2022-04-16,Kharkivska,5.0
36,2022-04-17,Kharkivska,7.0
37,2022-04-18,Kharkivska,3.0
38,2022-04-19,Kharkivska,3.0
39,2022-04-21,Kharkivska,2.0
40,2022-04-22,Kharkivska,2.0
41,2022-04-23,Kharkivska,3.0
42,2022-04-24,Kharkivska,2.0
43,2022-04-25,Kharkivska,4.0
44,2022-04-26,Kharkivska,3.0
45,2022-04-27,Kharkivska,1.0
46,2022-04-28,Kharkivska,5.0
47,2022-05-02,Kharkivska,3.0
0,2022-03-01,Khersonska,1.0
1,2022-03-28,Khersonska,1.0
2,2022-03-31,Khersonska,2.0
3,2022-04-06,Khersonska,4.0
4,2022-04-12,Khersonska,7.0
5,2022-04-15,Khersonska,3.0
6,2022-04-17,Khersonska,1.0
7,2022-04-26,Khersonska,1.0
0,2022-02-28,Chernihivska,1.0
1,2022-03-02,Chernihivska,3.0
2,2022-03-03,Chernihivska,33.0
3,2022-03-05,Chernihivska,17.0
4,2022-03-06,Chernihivska,1.0
5,2022-03-07,Chernihivska,3.0
6,2022-03-08,Chernihivska,3.0
7,2022-03-09,Chernihivska,1.0
8,2022-03-10,Chernihivska,1.0
9,2022-03-11,Chernihivska,8.0
10,2022-03-13,Chernihivska,4.0
11,2022-03-16,Chernihivska,5.0
12,2022-03-17,Chernihivska,5.0
13,2022-04-11,Chernihivska,1.0
14,2022-04-12,Chernihivska,1.0
15,2022-04-21,Chernihivska,3.0
16,2022-04-29,Chernihivska,2.0
