date,location,count
2022-04-24,Kharkivska,12.0
2022-04-25,Kharkivska,9.0
2022-04-26,Kharkivska,15.0
2022-04-27,Kharkivska,8.0
2022-04-28,Kharkivska,14.0
2022-03-01,Khersonska,4.0
2022-04-03,Khersonska,3.0
2022-04-05,Khersonska,1.0
2022-04-11,Khersonska,2.0
2022-04-15,Khersonska,4.0
2022-04-26,Khersonska,1.0
2022-04-27,Khersonska,2.0
2022-03-06,Khmelnytska,2.0
2022-02-27,Chernihivska,16.0
2022-02-28,Chernihivska,1.0
2022-03-03,Chernihivska,18.0
2022-03-05,Chernihivska,13.0
2022-03-06,Chernihivska,2.0
2022-03-09,Chernihivska,2.0
2022-03-11,Chernihivska,4.0
2022-03-13,Chernihivska,7.0
2022-03-19,Chernihivska,11.0
2022-02-24,General,2.0
2022-02-25,General,11.0
2022-02-26,General,6.0
2022-02-28,General,44.0
2022-03-01,General,38.0
2022-03-02,General,12.0
2022-03-03,General,9.0
2022-03-06,General,3.0
2022-03-07,General,12.0
2022-03-13,General,9.0
2022-03-14,General,3.0
2022-03-16,General,9.0
2022-03-18,General,23.0
2022-03-23,General,1.0
2022-04-17,General,11.0
